System,Version,Code,Display
http://loinc.org,2.68,21000-5,Erythrocyte distribution width [Entitic volume] by Automated count
http://loinc.org,2.68,30384-2,Erythrocyte distribution width [Entitic volume]
http://loinc.org,2.68,30385-9,Erythrocyte distribution width [Ratio]
http://loinc.org,2.68,788-0,Erythrocyte distribution width [Ratio] by Automated count
