System,Version,Code,Display
http://loinc.org,2.70,14682-9,Creatinine [Moles/volume] in Serum or Plasma
http://loinc.org,2.70,2160-0,Creatinine [Mass/volume] in Serum or Plasma
http://loinc.org,2.70,38483-4,Creatinine [Mass/volume] in Blood
http://loinc.org,2.70,59826-8,Creatinine [Moles/volume] in Blood
http://loinc.org,2.70,77140-2,Creatinine [Moles/volume] in Serum, Plasma or Blood
