System,Version,Code,Display
http://loinc.org,2.70,2069-3,Chloride [Moles/volume] in Blood
http://loinc.org,2.70,2075-0,Chloride [Moles/volume] in Serum or Plasma
http://loinc.org,2.70,41649-5,Chloride [Moles/volume] in Venous blood
http://loinc.org,2.70,41650-3,Chloride [Moles/volume] in Arterial blood
