System,Version,Code,Display
http://loinc.org,2.68,18281-6,Calcium [Moles/volume] corrected for total protein in Serum or Plasma
http://loinc.org,2.68,29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma
http://loinc.org,2.68,34907-6,Calcium [Mass/volume] corrected for total protein in Serum or Plasma
http://loinc.org,2.68,46099-8,Calcium [Mass/volume] corrected for albumin in Serum or Plasma
http://loinc.org,2.68,47597-0,Calcium [Moles/volume] corrected for total protein in Blood
