System,Version,Code,Display
http://loinc.org,2.70,27353-2,Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin
http://loinc.org,2.70,53553-4,Glucose mean value [Moles/volume] in Blood Estimated from glycated hemoglobin
