System,Version,Code,Display
http://loinc.org,2.70,13705-9,Albumin/Creatinine [Mass Ratio] in 24 hour Urine
http://loinc.org,2.70,14585-4,Albumin/Creatinine [Molar ratio] in Urine
http://loinc.org,2.70,14958-3,Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine
http://loinc.org,2.70,14959-1,Microalbumin/Creatinine [Mass Ratio] in Urine
http://loinc.org,2.70,32294-1,Albumin/Creatinine [Ratio] in Urine
http://loinc.org,2.70,44292-1,Microalbumin/Creatinine [Mass Ratio] in 12 hour Urine
http://loinc.org,2.70,76401-9,Albumin/Creatinine [Ratio] in 24 hour Urine
http://loinc.org,2.70,9318-7,Albumin/Creatinine [Mass Ratio] in Urine
